
--- Midpoint Integration (Integral_1: from 1 to 2 of 1/x dx) for N=4 ---
Step	X_mid		f(X_mid)	Partial Sum
--- Midpoint Integration (Integral_3: from 0 to 1 of x*atan(x) dx) for N=4 ---
Step	X_mid		f(X_mid)	Partial Sum
1	0.12500000	0.01554437	0.00388609
2	0.37500000	0.13453900	0.03752084
3	0.62500000	0.34912457	0.12480199
4	0.87500000	0.62897625	0.28204605


--- Midpoint Integration (Integral_3: from 0 to 1 of x*atan(x) dx) for N=8 ---
Step	X_mid		f(X_mid)	Partial Sum
1	0.06250000	0.00390118	0.00048765
2	0.18750000	0.03475274	0.00483174
3	0.31250000	0.09465152	0.01666318
4	0.43750000	0.18042957	0.03921688
5	0.56250000	0.28821907	0.07524426
6	0.68750000	0.41407255	0.12700333
7	0.81250000	0.55438220	0.19630110
8	0.93750000	0.70607933	0.28456102


--- Midpoint Integration (Integral_3: from 0 to 1 of x*atan(x) dx) for N=15 ---
Step	X_mid		f(X_mid)	Partial Sum
1	0.03333333	0.00111070	0.00007405
2	0.10000000	0.00996687	0.00073850
3	0.16666667	0.02752478	0.00257349
4	0.23333333	0.05348745	0.00613932
5	0.30000000	0.08743704	0.01196846
6	0.36666667	0.12886309	0.02055933
7	0.43333333	0.17719339	0.03237222
8	0.50000000	0.23182380	0.04782714
9	0.56666667	0.29214444	0.06730344
10	0.63333333	0.35756062	0.09114081
11	0.70000000	0.42750818	0.11964136
12	0.76666667	0.50146342	0.15307225
13	0.83333333	0.57894856	0.19166882
14	0.90000000	0.65953359	0.23563773
15	0.96666667	0.74283561	0.28516010


--- Midpoint Integration (Integral_3: from 0 to 1 of x*atan(x) dx) for N=20 ---
Step	X_mid		f(X_mid)	Partial Sum
1	0.02500000	0.00062487	0.00003124
2	0.07500000	0.00561449	0.00031197
3	0.12500000	0.01554437	0.00108919
4	0.17500000	0.03031799	0.00260509
5	0.22500000	0.04979575	0.00509487
6	0.27500000	0.07380071	0.00878491
7	0.32500000	0.10212537	0.01389118
8	0.37500000	0.13453900	0.02061813
9	0.42500000	0.17079503	0.02915788
10	0.47500000	0.21063796	0.03968978
11	0.52500000	0.25380968	0.05238026
12	0.57500000	0.30005471	0.06738300
13	0.62500000	0.34912457	0.08483922
14	0.67500000	0.40078103	0.10487828
15	0.72500000	0.45479844	0.12761820
16	0.77500000	0.51096530	0.15316646
17	0.82500000	0.56908504	0.18162071
18	0.87500000	0.62897625	0.21306953
19	0.92500000	0.69047256	0.24759316
20	0.97500000	0.75342210	0.28526426


--- Trapezoidal Integration (Integral_3: from 0 to 1 of x*atan(x) dx) for N=4 ---
Step	X_i		f(X_i)	Partial Sum
0	0.00000000	0.00000000	0.09817477
1	0.25000000	0.06124467	0.11348594
2	0.50000000	0.23182380	0.17144189
3	0.75000000	0.48262583	0.29209835
4	1.00000000	0.78539816	0.29209835


--- Trapezoidal Integration (Integral_3: from 0 to 1 of x*atan(x) dx) for N=8 ---
Step	X_i		f(X_i)	Partial Sum
0	0.00000000	0.00000000	0.04908739
1	0.12500000	0.01554437	0.05103043
2	0.25000000	0.06124467	0.05868602
3	0.37500000	0.13453900	0.07550339
4	0.50000000	0.23182380	0.10448137
5	0.62500000	0.34912457	0.14812194
6	0.75000000	0.48262583	0.20845017
7	0.87500000	0.62897625	0.28707220
8	1.00000000	0.78539816	0.28707220


--- Trapezoidal Integration (Integral_3: from 0 to 1 of x*atan(x) dx) for N=15 ---
Step	X_i		f(X_i)	Partial Sum
0	0.00000000	0.00000000	0.02617994
1	0.06666667	0.00443788	0.02647580
2	0.13333333	0.01767354	0.02765403
3	0.20000000	0.03947911	0.03028597
4	0.26666667	0.06949397	0.03491891
5	0.33333333	0.10725018	0.04206892
6	0.40000000	0.15220255	0.05221575
7	0.46666667	0.20375934	0.06579971
8	0.53333333	0.26131057	0.08322042
9	0.60000000	0.32425170	0.10483720
10	0.66666667	0.39200174	0.13097064
11	0.73333333	0.46401581	0.16190503
12	0.80000000	0.53979275	0.19789122
13	0.86666667	0.61887861	0.23914979
14	0.93333333	0.70086712	0.28587426
15	1.00000000	0.78539816	0.28587426


--- Trapezoidal Integration (Integral_3: from 0 to 1 of x*atan(x) dx) for N=20 ---
Step	X_i		f(X_i)	Partial Sum
0	0.00000000	0.00000000	0.01963495
1	0.05000000	0.00249792	0.01975985
2	0.10000000	0.00996687	0.02025819
3	0.15000000	0.02233349	0.02137487
4	0.20000000	0.03947911	0.02334882
5	0.25000000	0.06124467	0.02641106
6	0.30000000	0.08743704	0.03078291
7	0.35000000	0.11783619	0.03667472
8	0.40000000	0.15220255	0.04428485
9	0.45000000	0.19028427	0.05379906
10	0.50000000	0.23182380	0.06539025
11	0.55000000	0.27656377	0.07921844
12	0.60000000	0.32425170	0.09543102
13	0.65000000	0.37464389	0.11416322
14	0.70000000	0.42750818	0.13553863
15	0.75000000	0.48262583	0.15966992
16	0.80000000	0.53979275	0.18665956
17	0.85000000	0.59881995	0.21660055
18	0.90000000	0.65953359	0.24957723
19	0.95000000	0.72177462	0.28566596
20	1.00000000	0.78539816	0.28566596

